CVE_id,Description,cwe_value,cvss,severity,publishedDate,lastModifiedDate,version,cwe_cd,cwe_name,year
CVE-2021-41162,"Combodo iTop is a web based IT Service Management tool. In 3.0.0 beta releases prior to beta6 the `ajax.render.php?operation=wizard_helper` page did not properly escape the user supplied parameters, allowing for a cross site scripting attack vector. Users are advised to upgrade. There are no known workarounds for this issue.",CWE-79,6.1,MEDIUM,2022-04-21T17:15Z,2022-04-28T19:02Z,3.1,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2022
CVE-2020-1380,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer, aka 'Scripting Engine Memory Corruption Vulnerability'. This CVE ID is unique from CVE-2020-1555, CVE-2020-1570.",CWE-787,7.5,HIGH,2020-08-17T19:15Z,2022-04-28T18:58Z,3.1,787, Out-of-bounds Write,2020
CVE-2020-24331,"An issue was discovered in TrouSerS through 0.3.14. If the tcsd daemon is started with root privileges, the tss user still has read and write access to the /etc/tcsd.conf file (which contains various settings related to this daemon).",CWE-269,7.8,HIGH,2020-08-13T17:15Z,2022-04-28T18:58Z,3.1,269, Improper Privilege Management,2020
CVE-2020-24330,"An issue was discovered in TrouSerS through 0.3.14. If the tcsd daemon is started with root privileges instead of by the tss user, it fails to drop the root gid privilege when no longer needed.",CWE-269,7.8,HIGH,2020-08-13T17:15Z,2022-04-28T18:58Z,3.1,269, Improper Privilege Management,2020
CVE-2020-0559,Insecure inherited permissions in some Intel(R) PROSet/Wireless WiFi products on Windows* 7 and 8.1 before version 21.40.5.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,CWE-732,7.8,HIGH,2020-08-13T04:15Z,2022-04-28T18:58Z,3.1,732, Incorrect Permission Assignment for Critical Resource,2020
CVE-2020-17367,"Firejail through 0.9.62 does not honor the -- end-of-options indicator after the --output option, which may lead to command injection.",CWE-88,7.8,HIGH,2020-08-11T16:15Z,2022-04-28T18:58Z,3.1,88, Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),2020
CVE-2020-12780,"A security misconfiguration exists in Combodo iTop, which can expose sensitive information.",CWE-863,7.5,HIGH,2020-08-10T03:15Z,2022-04-28T18:58Z,3.1,863, Incorrect Authorization,2020
CVE-2019-19455,Wowza Streaming Engine before 4.8.5 has Insecure Permissions which may allow a local attacker to escalate privileges in / usr / local / WowzaStreamingEngine / manager / bin / in the Linux version of the server by writing arbitrary commands in any file and execute them as root. This issue was resolved in Wowza Streaming Engine 4.8.5.,CWE-732,7.8,HIGH,2020-08-03T14:15Z,2022-04-28T18:58Z,3.1,732, Incorrect Permission Assignment for Critical Resource,2020
CVE-2021-42778,A heap double free issue was found in Opensc before version 0.22.0 in sc_pkcs15_free_tokeninfo.,CWE-672,5.3,MEDIUM,2022-04-18T17:15Z,2022-04-28T18:58Z,3.1,672, Operation on a Resource after Expiration or Release,2022
CVE-2020-14309,There's an issue with grub2 in all versions before 2.06 when handling squashfs filesystems containing a symbolic link with name length of UINT32 bytes in size. The name size leads to an arithmetic overflow leading to a zero-size allocation further causing a heap-based buffer overflow with attacker controlled data.,CWE-787,6.7,MEDIUM,2020-07-30T13:15Z,2022-04-28T18:58Z,3.1,787, Out-of-bounds Write,2020
CVE-2021-42779,A heap use after free issue was found in Opensc before version 0.22.0 in sc_file_valid.,CWE-416,5.3,MEDIUM,2022-04-18T17:15Z,2022-04-28T18:58Z,3.1,416, Use After Free,2022
CVE-2020-15588,"An issue was discovered in the client side of Zoho ManageEngine Desktop Central 10.0.552.W. An attacker-controlled server can trigger an integer overflow in InternetSendRequestEx and InternetSendRequestByBitrate that leads to a heap-based buffer overflow and Remote Code Execution with SYSTEM privileges. This issue will occur only when untrusted communication is initiated with server. In cloud, Agent will always connect with trusted communication.",CWE-787,9.8,CRITICAL,2020-07-29T18:15Z,2022-04-28T18:58Z,3.1,787, Out-of-bounds Write,2020
CVE-2020-15921,"Mida eFramework through 2.9.0 has a back door that permits a change of the administrative password and access to restricted functionalities, such as Code Execution.",CWE-287,9.8,CRITICAL,2020-07-24T01:15Z,2022-04-28T18:57Z,3.1,287, Improper Authentication,2020
CVE-2020-14001,"The kramdown gem before 2.3.0 for Ruby processes the template option inside Kramdown documents by default, which allows unintended read access (such as template=""/etc/passwd"") or unintended embedded Ruby code execution (such as a string that begins with template=""string://<%= `). NOTE: kramdown is used in Jekyll, GitLab Pages, GitHub Pages, and Thredded Forum.",CWE-862,9.8,CRITICAL,2020-07-17T16:15Z,2022-04-28T18:57Z,3.1,862, Missing Authorization,2020
CVE-2020-6287,"SAP NetWeaver AS JAVA (LM Configuration Wizard), versions - 7.30, 7.31, 7.40, 7.50, does not perform an authentication check which allows an attacker without prior authentication to execute configuration tasks to perform critical actions against the SAP Java system, including the ability to create an administrative user, and therefore compromising Confidentiality, Integrity and Availability of the system, leading to Missing Authentication Check.",CWE-306,10.0,CRITICAL,2020-07-14T13:15Z,2022-04-28T18:57Z,3.1,306, Missing Authentication for Critical Function,2020
CVE-2019-20907,"In Lib/tarfile.py in Python through 3.8.3, an attacker is able to craft a TAR archive leading to an infinite loop when opened by tarfile.open, because _proc_pax lacks header validation.",CWE-835,7.5,HIGH,2020-07-13T13:15Z,2022-04-28T18:57Z,3.1,835, Loop with Unreachable Exit Condition ('Infinite Loop'),2020
CVE-2020-14303,"A flaw was found in the AD DC NBT server in all Samba versions before 4.10.17, before 4.11.11 and before 4.12.4. A samba user could send an empty UDP packet to cause the samba server to crash.",CWE-834,7.5,HIGH,2020-07-06T18:15Z,2022-04-28T18:57Z,3.1,834, Excessive Iteration,2020
